241,0.727068153,1.35E-05
241,0.723966853,1.35E-05
241,0.730030325,1.33E-05
241,0.731306994,1.34E-05
241,0.719430118,1.33E-05
241,0.734635306,1.35E-05
246,0.315947907,1.11E-05
246,0.307908468,1.11E-05
246,0.303879385,1.11E-05
246,0.301765586,1.10E-05
246,0.313383448,1.10E-05
246,0.309540202,1.11E-05
249,0.080833228,1.06E-05
249,0.076110717,1.06E-05
249,0.072794214,1.06E-05
249,0.067744732,1.06E-05
249,0.074048285,1.06E-05
249,0.076356107,1.06E-05
250.5,-0.029912487,1.04E-05
250.5,-0.033613822,1.05E-05
250.5,-0.025529908,1.04E-05
250.5,-0.033618925,1.04E-05
250.5,-0.029248052,1.04E-05
250.5,-0.035445496,1.04E-05
251,-0.06292702,1.04E-05
251,-0.072735231,1.03E-05
251,-0.059703123,1.03E-05
251,-0.062795193,1.03E-05
251,-0.07292903,1.04E-05
251,-0.06911814,1.03E-05
251.5,-0.106221197,1.03E-05
251.5,-0.101961325,1.03E-05
251.5,-0.102834104,1.03E-05
251.5,-0.102345216,1.03E-05
251.5,-0.108594593,1.03E-05
251.5,-0.109477595,1.03E-05
253,-0.20815218,1.04E-05
253,-0.206818135,1.03E-05
253,-0.210690234,1.03E-05
253,-0.204309365,1.03E-05
253,-0.211312379,1.03E-05
253,-0.212939926,1.03E-05
253,-0.205348447,1.03E-05
256,-0.388925782,1.06E-05
256,-0.395211685,1.06E-05
256,-0.383584997,1.05E-05
256,-0.396908531,1.06E-05
256,-0.393516918,1.05E-05
256,-0.386306719,1.05E-05
